OBJECTID,serial_nr_full,ttl_case_acres,commodity_txt,case_disp_txt,disp_dt,GISacres,casetype,casetype_txt,GlobalID,last_edited_date,Shape_Length,Shape_Area
15,CACA   059462,3920,GEOTHERMAL,PENDING,,4479.1246711,323000,GEO NOMINATION,{933C7419-C281-4624-95CB-78EC3395A948},,22530.8286206722,18126374.4419767
16,CACA   059463,4767.45,GEOTHERMAL,PENDING,,7038.57016353,323000,GEO NOMINATION,{F0526685-343F-4ED9-9BE5-734B2874E434},,25737.8201154229,28484082.870775
17,CACA   059464,3392.38,GEOTHERMAL,PENDING,,6359.09804675,323000,GEO NOMINATION,{6BC683AF-CD04-4084-98CC-05382E0AEDEC},,35309.4062782097,25734356.7711445
18,CACA   059465,4724.92,GEOTHERMAL,PENDING,,6343.63606437,323000,GEO NOMINATION,{CC1DC382-AAE5-4B11-A37D-8394044463DD},,25676.602817151,25671784.3484602
19,CACA   059466,4980.75,GEOTHERMAL,PENDING,,9231.85261179,323000,GEO NOMINATION,{045FEF1D-2694-465B-B3FD-7DBD2486232B},,42524.7448147027,37359982.0326785
20,CACA   059467,5075.7,GEOTHERMAL,PENDING,,7587.97290734,323000,GEO NOMINATION,{A5EB6DF7-FDF0-45B8-ACE4-3EF250176BCC},,27956.5957173952,30707436.893084
21,CACA   059468,3180,GEOTHERMAL,PENDING,,4804.48451448,323000,GEO NOMINATION,{B7153A7B-9DB6-45D4-BA5E-2EBC0523D154},,46697.6484904184,19443059.0137341
22,CACA   059469,,GEOTHERMAL,PENDING,,3356.55004699,323000,GEO NOMINATION,{93BE237A-B14F-41D8-8885-7BD3091D8A00},,32965.4958664153,13583476.1147678
23,CACA   059470,4570.18,GEOTHERMAL,PENDING,,7123.88837296,323000,GEO NOMINATION,{F6D9D7A9-16AC-4127-89FB-BC65478AE4C5},,35608.4772931509,28829353.4145711
24,CACA   059471,1480,GEOTHERMAL,PENDING,,3918.78526192,323000,GEO NOMINATION,{CF6CCB64-518F-4AF3-84CA-0634A41898BE},,29176.6733867962,15858761.3051991
25,CACA   059472,1040,GEOTHERMAL,PENDING,,3194.27127597,323000,GEO NOMINATION,{EABB755E-574A-40D9-9638-39B6C1C1B7C7},,29095.1796696586,12926757.2280297
26,CACA   059473,3360,GEOTHERMAL,PENDING,,6441.45234564,323000,GEO NOMINATION,{8A564C9D-D6F8-4851-AEF2-AA4A5DFBE0C0},,64554.2692059421,26067632.7945226
27,CACA   059474,2281.48,GEOTHERMAL,PENDING,,2629.98025999,323000,GEO NOMINATION,{E588CFF7-6EC1-42E2-961F-435A3C0D431C},,26105.7437326481,10643152.5059364
28,CACA   051451,4960,GEOTHERMAL,PENDING,,5033.47982673,323000,GEO NOMINATION,{131B9D36-8AD7-461C-B864-C6A0D8B5D46B},,20235.5504668373,20369770.1638325
